瑞雲 ずいうん
鄭重 ていちょう
屢次 るじ
双頰 そうきょう
霊廟 れいびょう
献芹 けんきん
沃土 よくど
曖昧 あいまい
嬰児 えいじ
剃度 ていど
柴扉 さいひ
喋喋 ちょうちょう
骨董 こっとう
暴戻 ぼうれい
集輯 しゅうしゅう
翠黛 すいたい
些事 さじ
井蛙 せいあ
蠅頭 ようとう
寸隙 すんげき
壊死 えし
妖姫 ようき
庚寅 こういん
揖譲 ゆうじょう
蕃殖 はんしょく
頁岩 けつがん
荻花 てきか,てっか
巌頭 がんとう
後胤 こういん
朔風 さくふう
蚤世 そうせい
漕艇 そうてい
揃刈 せんがい
鹿柴 ろくさい
鴨脚 おうきゃく
孜孜 しし
晃晃 こうこう
雛僧 すうそう
歎 たん
懸吊 けんちょう
葛衣 かつい
令姪 れいてつ
匡正 きょうせい
堆朱 ついしゅ
唯々 いい
酋長 しゅうちょう
汚瀆 おとく
蓬髪 ほうはつ
湛然 たんぜん
侃々 かんかん
兜巾 ときん
弁疏 べんそ
撞球 どうきゅう
一帖 いちじょう
敦朴 とんぼく
潰走 かいそう
夏畦 かけい
凌雲 りょううん
劫火 ごうか,こうか
皐月 こうげつ
貨賂 かろ
辛丑 しんちゅう
無碍 むげ
醇乎 じゅんこ
播種 はしゅ
火箭 かせん
謬見 びゅうけん
粟粒 ぞくりゅう
欣求 ごんぐ
戟形 げきけい
輔弼 ほひつ
苧麻 ちょま
脇息 きょうそく
垢衣 こうい
儲嗣 ちょし
菱花 りょうか
斯界 しかい
妾宅 しょうたく
徽号 きごう
甜菜 てんさい
烏鷺 うろ
鞭韃 べんたつ
吞吐 どんと
残蟬 ざんせん
諒恕 りょうじょ
太閤 たいこう
気焰 きえん
肇国 ちょうこく
蕩尽 とうじん
嘗試 しょうし
聯関 れんかん
鼠賊 そぞく
晦朔 かいさく
律呂 りつりょ
溢美 いつび
厭離 えんり,おんり
塵芥 じんかい
乙巳 いっし,おっし
厨室 ちゅうしつ
抜錨 ばつびょう
勾欄 こうらん
燕尾 えんび
茸茸 じょうじょう
狼戻 ろうれい
叱正 しっせい
乃至 ないし
天蓋 てんがい
歯牙 しが
鳶肩 えんけん
垂簾 すいれん
曝書 ばくしょ
丞相 じょうしょう,しょうじょう
竈神 そうしん
蕪辞 ぶじ
姫妾 きしょう
印綬 いんじゅ
兇刃 きょうじん
朔日 さくじつ
穆穆 ぼくぼく
小隙 しょうげき
盈満 えいまん
弥縫 びほう
唾壺 だこ
廠舎 しょうしゃ
烏有 うゆう
吻合 ふんごう
刈穫 がいかく
深淵 しんえん
卦兆 かちょう
渥丹 あくたん
頭註 とうちゅう
凋残 ちょうざん
俊彦 しゅんげん
弼匡 ひっきょう
繫縛 けいばく
邑落 ゆうらく
阿堵物 あとぶつ
貝母 ばいも
饗応 きょうおう
竹篦 しっぺい,ちくへい
瑞祥 ずいしょう
審訊 しんじん
灘声 だんせい,たんせい
茅舎 ぼうしゃ
奔滝 ほんろう
神輿 しんよ
紙燭 しそく
寒垢離 かんごり
允当 いんとう
乞巧 きっこう
萱堂 けんどう
寵愛 ちょうあい
佳肴 かこう
放鷹 ほうよう
嵐気 らんき
渚宮 しょきゅう
砥柱 しちゅう
樗散 ちょさん
禾黍 かしょ
賑救 しんきゅう
紬紡糸 ちゅうぼうし
僻遠 へきえん
衿喉 きんこう
魁梧 かいご
戎衣 じゅうい
書翰 しょかん
知悉 ちしつ
瞥見 べっけん
函蓋 かんがい
鉤餌 こうじ
狐狸 こり
岡陵 こうりょう
遥任 ようにん
彬彬 ひんぴん
佳辰 かしん
蚤歳 そうさい
巡錫 じゅんしゃく
丙寅 へいいん
筆鋒 ひっぽう
屢述 るじゅつ
咽下 えんげ,えんか
周匝 しゅうそう
盤桓 ばんかん
嬰城 えいじょう
卯飲 ぼういん
曳船 えいせん
姦計 かんけい
竪立 じゅりつ
尻坐 こうざ
畦畔 けいはん
濡滞 じゅたい
云為 うんい
鹿砦 ろくさい
横溢 おういつ
豊頰 ほうきょう
射倖心 しゃこうしん
皇儲 こうちょ
宏漠 こうばく
葺屋 しゅうおく
嘉節 かせつ
熊胆 ゆうたん
巌栖 がんせい
舛謬 せんびゅう
恩誼 おんぎ
夜叉 やしゃ
種牡馬 しゅぼば
栗栗 りつりつ
乃父 だいふ
犀利 さいり
雌蕊 しずい
諒闇 りょうあん
畢生 ひっせい
諫止 かんし
禿頭 とくとう
掬 きく
世諺 せいげん
暗渠 あんきょ
杵臼 しょきゅう
雲梯 うんてい
矛戟 ぼうげき
幡然 はんぜん
葱青 そうせい
談藪 だんそう
箭眼 せんがん
駁論 ばくろん
這箇 しゃこ
竪子 じゅし
同庚 どうこう
朔北 さくほく
規矩 きく
碓声 たいせい
迅瀬 じんらい
柏槙 びゃくしん
体軀 たいく
翼蔽 よくへい
鴻毛 こうもう
叩首 こうしゅ
薪柴 しんさい
桑梓 そうし
豊稔 ほうじん
葱白 そうはく
条播 じょうは
劫末 ごうまつ
匡輔 きょうほ
辛酉 しんゆう
翠雨 すいう
跨線橋 こせんきょう
婁宿 ろうしゅく
厨芥 ちゅうかい
薬匙 やくし
蕨拳 けっけん
草藁 そうこう
木犀 もくせい
而立 じりつ
敏慧 びんけい
註疏 ちゅうそ
樗材 ちょざい
砕屑物 さいせつぶつ
蔚蔚 うつうつ
鹿茸 ろくじょう
弄瓦 ろうが
穿楊 せんよう
荊妻 けいさい
厭悪 えんお
巽与 そんよ
翫弄 がんろう
頃日 けいじつ
迺公 だいこう
智囊 ちのう
頸椎 けいつい
甥姪 せいてつ
聾 ろう
烹炊 ほうすい
奄有 えんゆう
貼 ちょう
捲握 けんあく
貰赦 せいしゃ
凋零 ちょうれい
釜竈 ふそう
轟音 ごうおん
訊鞠 じんきく
牢乎 ろうこ
劃定 かくてい
戊寅 ぼいん
肴核 こうかく
歩哨 ほしょう
惣領 そうりょう
撫 ぶ
廻向 えこう
宏図 こうと
廓清 かくせい
妾腹 しょうふく
堰堤 えんてい
残鶯 ざんおう
葵心 きしん
厩舎 きゅうしゃ
鷹隼 ようじゅん,ようしゅん
禾稼 かか
黛青 たいせい
首魁 しゅかい
肇造 ちょうぞう
閤下 こうか
圃畦 ほけい
捺染 なっせん
宮娃 きゅうあい
己丑 きちゅう
卜占 ぼくせん
搔頭 そうとう
塁砦 るいさい
聡慧 そうけい
絢爛 けんらん
宕冥 とうめい
閏月 じゅんげつ
九皐 きゅうこう
禎祥 ていしょう
貫穿 かんせん
侃直 かんちょく
淵藪 えんそう
釣鉤 ちょうこう
鰐魚 がくぎょ
天竺 てんじく
豆粥 とうしゅく
穎異 えいい
金無垢 きんむく
腔腸 こうちょう
繫囚 けいしゅう
舛誤 せんご
己卯 きぼう
乞骸 きつがい
砧声 ちんせい
鉄杵 てっしょ
嘉猷 かゆう
翰藻 かんそう
濡染 じゅせん
冊封 さくほう
可憐 かれん
馴服 じゅんぷく
羅紗 らしゃ
溢流 いつりゅう
上巳 じょうし
神垣 しんえん
輿望 よぼう
儲君 ちょくん
盤陀 はんだ
灘響 だんきょう
寧馨児 ねいけいじ
甜瓜 てんか
輯睦 しゅうぼく
劫初 ごうしょ
画餅 がべい,がへい
掠略 りょうりゃく
水団 すいとん
蔚蔚 うつうつ
鉄楯 てつじゅん
負笈 ふきゅう
蟬蜎 せんけん
嘉肴 かこう
梓匠 ししょう
障碍 しょうがい
縦容 しょうよう
稔熟 じんじゅく
穎哲 えいてつ
捲線 けんせん
繭紬 けんちゅう
柴門 さいもん
之字路 しじろ
壬寅 じんいん
姦詐 かんさ
偏頗 へんぱ,へんば
危殆 きたい
郁烈 いくれつ
琉璃 るり
縄矩 じょうく
允可 いんか
恰幅 かっぷく
嵐翠 らんすい
這裡 しゃり
病竈 びょうそう
董狐 とうこ
波濤 はとう
戎馬 じゅうば
諮諏 ししゅ
錫 しゃく
鮎魚 でんぎょ
虞犯 ぐはん
戊申 ぼしん
鷹犬 ようけん
甘藷 かんしょ
頸聯 けいれん
尖兵 せんぺい
釜甑 ふそう
些末 さまつ
砧杵 ちんしょ
祖廟 そびょう
忍辱 にんにく
芳馨 ほうけい
樗才 ちょさい
瀆職 とくしょく
姪孫 てっそん
庫裡 くり
叩頭 こうとう
揺曳 ようえい
諺語 げんご
凄絶 せいぜつ
酋領 しゅうりょう
弗弗 ふつふつ
卦体 けたい
鞠問 きくもん
砦柵 さいさく
樟脳 しょうのう
匡弼 きょうひつ
蚤夜 そうや
妾出 しょうしゅつ
夕嵐 せきらん
投錨 とうびょう
溢誉 いつよ
頃来 けいらい
弘誓 ぐぜい
菱歌 りょうか
呪罵 じゅば
栗烈 りつれつ
揖揖 しゅうしゅう
憐情 れんじょう
乃公 だいこう
己酉 きゆう
鎮咳剤 ちんがいざい
舛錯 せんさく
令甥 れいせい
翰墨 かんぼく
禰祖 でいそ
柴荊 さいけい
碩徳 せきとく
竈突 そうとつ
撞着 どうちゃく
馴致 じゅんち
斌斌 ひんぴん
急灘 きゅうだん
大姦 たいかん
亥月 がいげつ
